1,,3,6829,18504,9289,29,370
2,9896,4,,18963,9482,22,306
3,11451,4,6645,,9482,22,313
4,,4,,,9482,22,313
5,12672,4,,18663,9482,22,306
6,13382,4,7400,,9482,22,313
7,13691,3,8076,,9482,24,347
8,14864,3,6039,18513,5033,22,243
9,16025,4,4832,18574,9482,28,296
10,16580,3,8691,18504,9482,29,328
11,,4,,,9482,22,313
12,9595,4,6836,,9481,22,313
13,12336,3,5331,18931,9481,22,314
14,10471,3,5163,,9480,36,347
15,,4,,,9480,22,313
16,10690,4,,18504,9480,22,408
17,,3,7764,,9285,22,233
18,11165,4,,18578,9285,22,306
19,12228,3,4581,,9480,28,330
20,12309,4,,,9480,22,313
21,,4,7638,,9480,28,313
22,14638,4,,18861,8436,28,399
23,9502,3,6686,,5090,36,424
24,11562,3,4701,,9479,19,339
25,12338,3,8187,18663,5140,28,395
26,13044,4,,18551,9479,28,306
27,13430,3,7930,,5111,36,234
28,11671,3,5593,18504,5878,29,245
29,10632,3,8325,18504,6371,29,351
30,14184,3,8083,18484,6371,29,307
31,9390,3,4941,,9477,28,393
32,10294,4,,,9477,22,313
33,15030,4,,18574,9278,22,364
34,15328,4,,,9477,22,313
35,15570,4,,,9278,27,313
36,15946,3,5464,,9477,22,258
37,16590,3,5226,,9477,22,262
38,9375,4,,18290,8427,27,313
39,9835,3,5949,18761,7928,29,434
40,10266,4,,18663,9476,27,364
41,11837,4,,18504,9476,27,313
42,12331,3,8557,18504,4817,24,321
43,12332,3,6346,18504,4837,24,344
44,12333,3,6445,18504,4891,24,252
45,12334,3,6599,18504,4930,29,347
46,,3,8821,,9476,24,272
47,14822,3,5443,18884,6177,34,255
48,16550,4,5173,,9276,22,313
49,16919,3,4884,18504,5232,34,404
50,10181,4,,18521,9475,22,306
51,10768,4,,18663,6615,36,313
52,12233,3,8793,18818,5274,28,299
53,12234,3,8793,18818,5311,28,299
54,12235,3,8793,18818,5359,36,401
55,12236,3,8793,18818,5231,36,366
56,13749,4,,18504,9475,36,421
57,13771,3,7222,18818,6011,28,407
58,13772,3,6041,18818,5653,36,409
59,13773,3,7222,18818,5749,36,434
60,13774,3,6041,18818,5556,36,367
61,13775,3,7222,18818,5874,28,266
62,13776,3,6129,18818,5425,36,351
63,13777,3,8795,18818,5495,36,367
64,13778,3,8676,18818,5359,36,389
65,13848,3,5565,,9475,36,245
66,13934,4,,18574,9475,19,421
67,,4,,18663,6615,20,313
68,14905,4,,18504,5052,36,296
69,14929,3,6062,,9475,28,268
70,,4,,18663,6948,36,313
71,16882,4,,,9475,22,313
72,9052,3,5493,,9474,19,281
73,12299,4,,18574,9474,22,399
74,12619,3,6754,18521,8424,22,335
75,,4,,,9474,36,306
76,17537,3,5033,,9474,20,307
77,17554,4,,18818,6367,28,313
78,12928,3,7855,,9473,27,333
79,17007,3,5585,,9273,28,260
80,17008,3,5585,,9473,28,260
81,11259,3,8774,,9472,27,409
82,12529,3,5227,18504,9472,34,307
83,13079,4,,18504,9472,28,421
84,13355,4,,,9472,22,313
85,14008,3,6436,18521,9271,22,234
86,14327,4,,,9472,27,313
87,14408,3,8702,,9472,22,400
88,16836,4,,,8880,19,306
89,9897,3,7133,,9488,29,434
90,13395,4,,,7951,27,408
91,14180,3,4731,18384,8910,22,367
92,,3,7447,18794,9488,28,280
93,12225,4,,18814,9487,22,306
94,12397,3,4710,,9487,22,347
95,15106,3,7916,18759,8454,24,370
96,15811,4,,18928,9487,22,364
97,12113,3,8525,18504,8453,22,351
98,12589,4,,18504,9486,27,306
99,13960,4,,18574,9486,19,313
100,14014,4,,18699,9486,22,313
101,16852,4,,,8907,27,306
102,,3,5249,18504,9486,22,340
103,,4,6297,,9485,28,313
104,15044,3,8999,,9297,22,378
105,15571,4,,18313,7448,19,306
106,9365,3,6963,18663,7949,28,348
107,10074,4,,18504,9484,20,399
108,8963,3,5507,18504,8450,31,370
109,10817,4,,18551,9483,20,313
110,12721,4,,18844,9483,22,399
111,,4,7019,,9483,22,313
112,15056,4,,18843,9483,19,313
113,17474,3,8283,,9483,29,363
114,9156,3,8523,,9478,36,258
115,9385,3,7902,18663,5053,28,297
116,10036,3,6281,18412,5753,24,363
117,10766,3,7488,18663,6953,36,372
118,,3,7032,18759,9478,29,330
119,11684,3,8383,18663,7935,28,307
120,11847,3,6618,,9282,22,299
121,11854,4,,18551,9478,27,313
122,11987,4,,,8889,28,313
123,12157,3,6281,18616,5312,34,418
124,,4,,,6180,27,313
125,,4,,18313,6372,27,364
126,14465,4,,18504,9478,22,313
127,15079,3,8875,18663,9282,28,255
128,8971,3,7188,18768,5358,24,367
129,9162,3,5968,,7921,29,255
130,9345,3,6893,18558,5423,29,383
131,9611,3,8322,,9471,19,442
132,9875,3,8041,18504,4881,34,378
133,10006,4,,,9471,22,313
134,10225,3,7531,18627,6944,34,430
135,10389,3,7830,18696,5051,29,316
136,10396,3,7996,18975,5032,34,268
137,10442,3,4877,18681,5310,34,236
138,10552,3,8453,18570,5229,24,367
139,10687,3,6893,18504,5870,29,383
140,10825,3,8485,18504,4960,34,385
141,11012,3,8341,18569,6609,22,366
142,11136,3,8550,18747,6944,34,411
143,11371,3,8023,18558,5554,29,321
144,11654,3,7203,18504,6009,29,372
145,11997,3,7984,18504,4979,34,328
146,11998,3,5946,18504,4990,34,330
147,11999,3,5745,18504,5051,34,330
148,,4,,,9471,36,313
149,12023,4,5957,,9269,28,313
150,12089,3,7340,18504,5139,34,409
151,12165,3,7353,18504,5170,34,351
152,12193,3,4817,18672,5423,28,365
153,12324,3,5129,18504,7413,22,401
154,12591,4,,18692,7413,19,306
155,12706,4,,18818,6944,22,364
156,12745,3,6428,18759,4922,24,397
157,12864,3,5922,18504,5870,24,262
158,12865,3,5473,18727,8415,28,407
159,13020,3,8813,18504,5310,29,397
160,13028,3,7692,18439,5870,22,245
161,13157,4,,18504,5011,36,408
162,13245,3,8719,18504,5089,29,307
163,13247,3,7984,18998,7921,29,418
164,13658,3,5567,18504,5310,34,432
165,13729,3,6819,18504,5170,29,430
166,13997,4,,,8877,22,313
167,14029,3,8359,18996,4903,34,332
168,14067,3,7262,18768,5652,24,414
169,14096,3,5098,18504,5229,24,367
170,14350,3,8969,18504,5493,29,252
171,14656,3,7799,18504,5110,34,423
172,14849,3,7309,18504,7921,29,385
173,14926,3,8025,18800,5310,29,258
174,15217,3,4777,18504,6944,29,389
175,15578,3,4884,18504,5310,34,430
176,15733,3,7954,18504,4857,34,262
177,16006,3,7351,18504,4922,29,330
178,16042,3,6213,18759,4766,28,311
179,16119,3,5773,18504,6609,34,253
180,16366,3,8767,18504,5089,29,367
181,16367,3,7797,,5197,29,350
182,,4,,,9471,28,313
183,17304,3,7076,18504,5652,29,372
184,12160,3,8969,18504,5018,34,231
185,15283,4,,18504,9340,36,313
186,,3,5249,,9340,22,432
187,11948,4,,,9338,28,313
188,16108,4,,,9338,20,313
189,8860,3,7950,18794,5576,22,351
190,10012,4,,,8968,19,306
191,16759,3,8387,18663,9337,28,243
192,17426,3,8666,18302,7531,34,350
193,10096,3,8204,18663,5575,28,314
194,10576,4,,18705,9336,22,313
195,10677,4,,,5241,22,313
196,11048,3,8305,18663,5575,28,348
197,11860,3,7193,,9336,28,280
198,12093,4,,,9336,27,313
199,12620,4,6754,18521,9336,22,313
200,12658,3,7705,18663,5438,28,224
201,12686,3,8281,18663,5321,28,321
202,12690,3,4851,18663,5284,28,324
203,12712,3,8265,18663,5375,22,310
204,12713,3,8832,18663,7041,22,321
