4745,December 30 2018,1925
4746,March 31 2017,1942
4747,March 31 2017,1943
4748,March 31 2017,1944
4749,February 9 2021,1945
4750,March 31 2017,1945
4751,February 1 2017,1946
4752,March 31 2017,1946
4753,March 31 2017,1947
4754,June 18 2020,1954
4755,November 15 2020,1954
4756,November 1 2019,1955
4757,November 13 2020,1955
4758,June 18 2020,1956
4759,November 1 2019,1956
4760,June 18 2020,1958
4761,November 1 2019,1958
4762,July 6 2021,1959
4763,December 31 2019,1960
4764,November 1 2019,1960
4765,October 15 2017,1960
4766,September 1 2021,1961
4767,July 1 2017,1962
4768,November 1 2019,1962
4769,July 1 2017,1963
4770,June 18 2020,1963
4771,April 1 2021,1964
4772,December 31 2019,1964
4773,November 1 2019,1965
4774,July 1 2017,1966
4775,January 1 2021,1967
4776,July 1 2017,1967
4777,July 1 2019,1967
4778,October 1 2019,1967
4779,January 1 2020,1968
4780,November 1 2019,1968
4781,November 20 2019,1968
4782,January 1 2020,1969
4783,June 1 2017,1969
4784,June 18 2020,1970
4785,October 1 2019,1970
4786,April 1 2017,1971
4787,January 1 2020,1971
4788,July 1 2017,1971
4789,July 1 2020,1971
4790,November 1 2020,1971
4791,December 31 2019,1972
4792,June 15 2021,1972
4793,November 1 2019,1972
4794,October 2 2018,1972
4795,December 31 2019,1973
4796,January 1 2021,1973
4797,July 1 2019,1973
4798,May 21 2020,1973
4799,November 1 2016,1973
4800,November 1 2019,1973
4801,November 23 2019,1973
4802,October 1 2019,1973
4803,September 1 2017,1973
4804,December 31 2019,1974
4805,July 1 2019,1974
4806,June 6 2019,1974
4807,November 20 2019,1974
4808,October 2 2018,1974
4809,October 22 2019,1974
4810,September 1 2017,1974
4811,April 1 2017,1975
4812,December 31 2019,1975
4813,January 2 2019,1975
4814,July 28 2018,1975
4815,October 1 2019,1975
4816,October 19 2020,1975
4817,September 16 2021,1975
4818,August 1 2019,1976
4819,December 31 2019,1976
4820,July 6 2021,1976
4821,June 1 2019,1976
4822,June 2 2021,1976
4823,May 21 2020,1976
4824,November 1 2019,1976
4825,September 1 2017,1976
4826,December 31 2019,1977
4827,February 10 2017,1977
4828,July 1 2020,1977
4829,June 1 2020,1977
4830,March 31 2018,1977
4831,March 6 2018,1977
4832,July 31 2018,1978
4833,November 1 2017,1978
4834,November 1 2019,1978
4835,October 1 2019,1978
4836,October 3 2018,1978
4837,September 16 2021,1978
4838,August 1 2019,1979
4839,August 1 2020,1979
4840,December 1 2016,1979
4841,December 31 2017,1979
4842,December 31 2019,1979
4843,June 18 2020,1979
4844,May 15 2018,1979
